  Time                 , V(U1:PLUS)           , (I(U1:PLUS))@1       
  7.010000000020e-001  ,-5.999999988000e+000  ,-2.521825190069e-004  
  7.011000000018e-001  ,-5.399999989200e+000  ,-1.838657200300e-004  
  7.013000000018e-001  ,-4.199999989200e+000  ,-8.652992335019e-005  
  7.017000000018e-001  ,-1.799999989201e+000  ,-6.812992248437e-006  
  7.020000000020e-001  ,0.000000000000e+000  ,0.000000000000e+000  
  7.020800000020e-001  ,0.000000000000e+000  ,0.000000000000e+000  
  7.022400097676e-001  ,0.000000000000e+000  ,0.000000000000e+000  
  7.025600292989e-001  ,0.000000000000e+000  ,0.000000000000e+000  
  7.032000683614e-001  ,0.000000000000e+000  ,0.000000000000e+000  
  7.044801464864e-001  ,0.000000000000e+000  ,0.000000000000e+000  
  7.070403027364e-001  ,0.000000000000e+000  ,0.000000000000e+000  
  7.121606152364e-001  ,0.000000000000e+000  ,0.000000000000e+000  
  7.224012402364e-001  ,0.000000000000e+000  ,0.000000000000e+000  
  7.424012402364e-001  ,0.000000000000e+000  ,0.000000000000e+000  
  7.624012402364e-001  ,0.000000000000e+000  ,0.000000000000e+000  
  7.824012402364e-001  ,0.000000000000e+000  ,0.000000000000e+000  
  8.000000000020e-001  ,-1.199973453936e-008  ,0.000000000000e+000  
  8.001000000018e-001  ,-6.000000108000e-001  ,0.000000000000e+000  
  8.003000000018e-001  ,-1.800000010800e+000  ,-6.813314522465e-006  
  8.007000000018e-001  ,-4.200000010800e+000  ,-8.657619831433e-005  
  8.010000000020e-001  ,-6.000000000000e+000  ,-2.525443792895e-004  
  8.010800000020e-001  ,-6.000000000000e+000  ,-2.525867761592e-004  
  8.012400097676e-001  ,-6.000000000000e+000  ,-2.526715651171e-004  
  8.015600292989e-001  ,-6.000000000000e+000  ,-2.528411231067e-004  
  8.022000683614e-001  ,-6.000000000000e+000  ,-2.531801196531e-004  
  8.034801464864e-001  ,-6.000000000000e+000  ,-2.538576355363e-004  
  8.060403027364e-001  ,-6.000000000000e+000  ,-2.552107626286e-004  
  8.111606152364e-001  ,-6.000000000000e+000  ,-2.579094312475e-004  
  8.214012402364e-001  ,-6.000000000000e+000  ,-2.632766883791e-004  
  8.414012402364e-001  ,-6.000000000000e+000  ,-2.736452561328e-004  
  8.614012402364e-001  ,-6.000000000000e+000  ,-2.838664123061e-004  
  8.814012402364e-001  ,-6.000000000000e+000  ,-2.939440135302e-004  
  9.010000000020e-001  ,-5.999999988000e+000  ,-3.036837368738e-004  
  9.011000000018e-001  ,-5.399999989200e+000  ,-2.214065850682e-004  
  9.013000000018e-001  ,-4.199999989200e+000  ,-1.041910649540e-004  
  9.017000000018e-001  ,-1.799999989201e+000  ,-8.203100481129e-006  
  9.020000000020e-001  ,0.000000000000e+000  ,0.000000000000e+000  
  9.020800000020e-001  ,0.000000000000e+000  ,0.000000000000e+000  
  9.022400097676e-001  ,0.000000000000e+000  ,0.000000000000e+000  
  9.025600292989e-001  ,0.000000000000e+000  ,0.000000000000e+000  
  9.032000683614e-001  ,0.000000000000e+000  ,0.000000000000e+000  
  9.044801464864e-001  ,0.000000000000e+000  ,0.000000000000e+000  
  9.070403027364e-001  ,0.000000000000e+000  ,0.000000000000e+000  
  9.121606152364e-001  ,0.000000000000e+000  ,0.000000000000e+000  
  9.224012402364e-001  ,0.000000000000e+000  ,0.000000000000e+000  
  9.424012402364e-001  ,0.000000000000e+000  ,0.000000000000e+000  
  9.624012402364e-001  ,0.000000000000e+000  ,0.000000000000e+000  
  9.824012402364e-001  ,0.000000000000e+000  ,0.000000000000e+000  
  1.000000000000e+000  ,0.000000000000e+000  ,0.000000000000e+000  
